city,x,y,address,technology 
Одеса,"30,7571904","46,426621",Аркадиевский переулок 9/1,GPON
Одеса,"30,7481204","46,4489728","Армійська вулиця, 10",GPON
Одеса,"30,7457522","46,4496388","Армійська вулиця, 11/1",GPON
Одеса,"30,7461158","46,4497529","Армійська вулиця, 11/2",GPON
Одеса,"30,746345","46,4498365","Армійська вулиця, 11/3",GPON
Одеса,"30,7462377","46,4501156","Армійська вулиця, 11/4",GPON
Одеса,"30,7460768","46,4503484","Армійська вулиця, 11/5",GPON
Одеса,"30,7452024","46,4503355","Армійська вулиця, 11/6",GPON
Одеса,"30,7449181","46,4501932","Армійська вулиця, 11/7",GPON
Одеса,"30,745079","46,4499825","Армійська вулиця, 11/8",GPON
Одеса,"30,74821","46,4501043","Армійська вулиця, 12",GPON
Одеса,"30,7480936","46,4503146","Армійська вулиця, 13",GPON
Одеса,"30,7485968","46,4503409","Армійська вулиця, 14",GPON
Одеса,"30,7486213","46,4513884","Армійська вулиця, 15",GPON
Одеса,"30,7499503","46,4521518","Армійська вулиця, 17",GPON
Одеса,"30,749842","46,452239","Армійська вулиця, 17а",GPON
Одеса,"30,7488981","46,4522369","Армійська вулиця, 19",GPON
Одеса,"30,748409","46,452654","Армійська вулиця, 21",GPON
Одеса,"30,743799","46,4489033","Армійська вулиця, 7",GPON
Одеса,"30,7450803","46,447477","Армійська вулиця, 8Б",GPON
Одеса,"30,7445887","46,4483772","Армійська вулиця, 8В",GPON
Одеса,"30,7458995","46,4478126","Армійська вулиця, 8Г",GPON
Одеса,"30,7445316","46,4491289","Армійська вулиця, 9",GPON
Одеса,"30,7342339","46,4471112","Артилерійська вулиця, 4В",GPON
Одеса,"30,7487888","46,4546685","Ботанічний провулок, 2",GPON
Одеса,"30,748134","46,455068","Ботанічний провулок, 2А",GPON
Одеса,"30,7491215","46,453246","Ботанічний провулок, 4",GPON
Одеса,"30,7495268","46,4525517","Ботанічний провулок, 6",GPON
Одеса,"30,7988475","46,585261","Бочарова Генерала вул., 27",GPON
Одеса,"30,7990173","46,5847096","Бочарова Генерала вул., 31",GPON
Одеса,"30,7977469","46,583486","Бочарова Генерала вул., 35",GPON
Одеса,"30,7990103","46,5860174","Бочарова Генерала вул., 43",GPON
Одеса,"30,8100696","46,5818667","Бочарова Генерала вул., 45",GPON
Одеса,"30,8005483","46,585288","Бочарова Генерала вул., 47",GPON
Одеса,"30,8003377","46,5832713","Бочарова Генерала вул., 53",GPON
Одеса,"30,7996992","46,5838682","Бочарова Генерала вул., 55",GPON
Одеса,"30,8041368","46,5831325","Бочарова Генерала вул., 57А",GPON
Одеса,"30,8041095","46,5836849","Бочарова Генерала вул., 57Б",GPON
Одеса,"30,8047828","46,5835574","Бочарова Генерала вул., 57В",GPON
Одеса,"30,8115532","46,5821452","вул. Генерала Бочарова, 42",GPON
Одеса,"30,7184665","46,4018901","вул. Корольова Академіка, 64Б",GPON
Одеса,"30,7190351","46,4051879","вул. Левітана, 101A",GPON
Одеса,"30,7309155","46,40933","вул. Люстдорфська дорога, 125/2A",GPON
Одеса,"30,7943831","46,5977739","вул. Паустовського, 27/1",GPON
Одеса,"30,7515093","46,4368519","вул. Сонячна, 10",GPON
Одеса,"30,7482857","46,4389219","вул. Тополева, 30/1",GPON
Одеса,"30,7122961","46,4007755","вул.Ільфа і Петрова, 10A",GPON
Одеса,"30,7898386","46,5728198","вулиця 40-річчя Оборони Одеси, 2",GPON
Одеса,"30,7903994","46,5730724","вулиця 40-річчя Оборони Одеси, 4",GPON
Одеса,"30,7905071","46,5743853","вулиця 40-річчя Оборони Одеси, 8",GPON
Одеса,"30,8044093","46,5721564","вулиця Академiка Сахарова, 16",GPON
Одеса,"30,8032337","46,5718897","вулиця Академiка Сахарова, 16а",GPON
Одеса,"30,8037818","46,5729239","вулиця Академiка Сахарова, 20",GPON
Одеса,"30,8051888","46,5751601","вулиця Академiка Сахарова, 24",GPON
Одеса,"30,8064758","46,575503","вулиця Академiка Сахарова, 26",GPON
Одеса,"30,8054217","46,5765583","вулиця Академiка Сахарова, 28",GPON
Одеса,"30,8063889","46,5760474","вулиця Академiка Сахарова, 30",GPON
Одеса,"30,8071383","46,5763221","вулиця Академiка Сахарова, 34",GPON
Одеса,"30,8071315","46,5748618","вулиця Академiка Сахарова, 3А",GPON
Одеса,"30,8100133","46,5775095","вулиця Академiка Сахарова, 3Б",GPON
Одеса,"30,8104292","46,5794975","вулиця Академiка Сахарова, 3В",GPON
Одеса,"30,8095372","46,5810638","вулиця Академiка Сахарова, 46",GPON
Одеса,"30,8099044","46,5812242","вулиця Академiка Сахарова, 48",GPON
Одеса,"30,8110133","46,5795663","вулиця Академiка Сахарова, 5",GPON
Одеса,"30,8112357","46,5798476","вулиця Академiка Сахарова, 5а",GPON
Одеса,"30,8114315","46,5801011","вулиця Академiка Сахарова, 5б",GPON
Одеса,"30,8114188","46,5793877","вулиця Академiка Сахарова, 5в",GPON
Одеса,"30,8118721","46,5794679","вулиця Академiка Сахарова, 5г",GPON
Одеса,"30,8122664","46,579526","вулиця Академiка Сахарова, 5д",GPON
Одеса,"30,8123549","46,5796892","вулиця Академiка Сахарова, 5е",GPON
Одеса,"30,7327472","46,3853474","вулиця Академіка Вільямса, 43",GPON
Одеса,"30,7333932","46,3925022","вулиця Академіка Вільямса, 44",GPON
Одеса,"30,7332665","46,3920441","вулиця Академіка Вільямса, 44/1",GPON
Одеса,"30,7330744","46,3921375","вулиця Академіка Вільямса, 44/2",GPON
Одеса,"30,7313643","46,3904929","вулиця Академіка Вільямса, 46/1",GPON
Одеса,"30,7323897","46,3904869","вулиця Академіка Вільямса, 46/2",GPON
